Test,Run,Clock Cycles 
1,1,113.00 
1,2,220.00 
1,3,154.25 
1,4,156.25 
1,5,154.50 
1,6,220.50 
1,7,223.50 
1,8,247.75 
1,9,268.75 
1,10,225.75 
1,11,215.75 
1,12,224.25 
1,13,269.25 
1,14,465.50 
1,15,181.25 
1,16,905.75 
1,17,194.25 
1,18,205.25 
1,19,249.00 
1,20,196.75 
1,21,243.00 
1,22,255.75 
1,23,844.00 
1,24,190.50 
1,25,1016.50 
1,26,174.00 
1,27,129.50 
1,28,247.00 
1,29,209.75 
1,30,248.75 
1,31,218.25 
1,32,281.75 
1,33,201.50 
1,34,146.00 
1,35,199.50 
1,36,197.50 
1,37,202.00 
1,38,209.50 
1,39,170.50 
1,40,149.50 
1,41,198.75 
1,42,178.50 
1,43,183.25 
1,44,192.50 
1,45,178.50 
1,46,240.50 
1,47,164.50 
1,48,483.00 
1,49,619.75 
1,50,757.25 
1,51,176.00 
1,52,1055.25 
1,53,207.00 
1,54,187.50 
1,55,356.25 
1,56,195.75 
1,57,191.00 
1,58,667.25 
1,59,236.50 
1,60,212.00 
1,61,177.75 
1,62,197.75 
1,63,218.00 
1,64,201.25 
1,65,267.25 
1,66,193.00 
1,67,290.50 
1,68,245.75 
1,69,184.75 
1,70,230.25 
1,71,217.25 
1,72,254.00 
1,73,203.25 
1,74,350.00 
1,75,222.50 
1,76,215.00 
1,77,177.50 
1,78,234.25 
1,79,600.00 
1,80,225.50 
1,81,289.50 
1,82,269.50 
1,83,206.00 
1,84,173.00 
1,85,525.50 
1,86,139.50 
1,87,421.75 
1,88,745.00 
1,89,202.00 
1,90,454.00 
1,91,204.75 
1,92,192.50 
1,93,270.50 
1,94,168.75 
1,95,628.00 
1,96,228.75 
1,97,222.75 
1,98,136.50 
1,99,139.50 
1,100,539.00 
2,1,18.72 
2,2,20.28 
2,3,19.00 
2,4,19.03 
2,5,40.78 
2,6,19.75 
2,7,22.47 
2,8,19.38 
2,9,30.69 
2,10,137.97 
2,11,23.38 
2,12,23.44 
2,13,24.41 
2,14,14.84 
2,15,22.38 
2,16,29.16 
2,17,18.47 
2,18,24.00 
2,19,22.59 
2,20,130.25 
2,21,19.50 
2,22,27.52 
2,23,21.72 
2,24,20.97 
2,25,17.97 
2,26,49.06 
2,27,32.38 
2,28,20.06 
2,29,28.06 
