Test,Run,Clock Cycles 
1,1,147.00 
1,2,245.00 
1,3,137.88 
1,4,101.00 
1,5,134.75 
1,6,238.88 
1,7,79.63 
1,8,98.00 
1,9,110.25 
1,10,134.75 
1,11,134.75 
1,12,143.88 
1,13,107.13 
1,14,131.75 
1,15,134.75 
1,16,180.75 
1,17,251.13 
1,18,168.38 
1,19,144.00 
1,20,104.13 
1,21,143.88 
1,22,104.13 
1,23,131.63 
1,24,202.13 
1,25,101.00 
1,26,361.38 
1,27,113.38 
1,28,101.13 
1,29,159.25 
1,30,76.63 
1,31,116.38 
1,32,101.00 
1,33,137.75 
1,34,101.13 
1,35,107.25 
1,36,144.00 
1,37,140.88 
1,38,113.25 
1,39,107.13 
1,40,131.75 
1,41,113.25 
1,42,134.75 
1,43,134.75 
1,44,101.13 
1,45,101.00 
1,46,104.13 
1,47,107.25 
1,48,134.75 
1,49,113.38 
1,50,131.63 
1,51,107.25 
1,52,98.00 
1,53,153.13 
1,54,101.13 
1,55,101.00 
1,56,107.25 
1,57,223.63 
1,58,82.75 
1,59,153.13 
1,60,137.88 
1,61,140.88 
1,62,107.13 
1,63,104.13 
1,64,168.38 
1,65,156.25 
1,66,140.88 
1,67,107.25 
1,68,248.00 
1,69,107.25 
1,70,110.25 
1,71,107.13 
1,72,107.13 
1,73,107.13 
1,74,220.50 
1,75,134.75 
1,76,128.63 
1,77,110.25 
1,78,137.88 
1,79,116.38 
1,80,131.63 
1,81,131.63 
1,82,107.25 
1,83,101.00 
1,84,107.25 
1,85,110.25 
1,86,104.13 
1,87,137.75 
1,88,98.00 
1,89,144.00 
1,90,107.25 
1,91,82.63 
1,92,104.13 
1,93,107.13 
1,94,137.88 
1,95,101.13 
1,96,82.75 
1,97,107.25 
1,98,131.75 
1,99,192.88 
1,100,137.88 
2,1,13.41 
2,2,13.39 
2,3,13.02 
2,4,13.78 
2,5,13.41 
2,6,13.78 
2,7,14.16 
2,8,14.55 
2,9,10.33 
2,10,13.39 
2,11,19.14 
2,12,15.69 
2,13,13.39 
2,14,13.41 
2,15,14.17 
2,16,18.38 
2,17,13.02 
2,18,17.23 
2,19,14.17 
2,20,22.97 
2,21,13.41 
2,22,13.78 
2,23,13.78 
2,24,9.58 
2,25,17.22 
2,26,16.45 
2,27,13.02 
2,28,14.17 
2,29,13.02 
2,30,17.23 
2,31,13.02 
2,32,13.02 
2,33,16.84 
2,34,13.41 
2,35,15.31 
2,36,13.78 
2,37,17.61 
2,38,12.64 
2,39,14.17 
2,40,13.41 
2,41,14.17 
2,42,13.78 
2,43,13.02 
2,44,13.39 
2,45,13.78 
2,46,22.58 
2,47,14.92 
2,48,13.78 
2,49,11.86 
2,50,16.84 
2,51,21.44 
2,52,24.50 
2,53,14.55 
2,54,13.02 
2,55,34.45 
2,56,13.02 
2,57,12.64 
2,58,13.78 
2,59,24.88 
2,60,25.27 
2,61,13.41 
2,62,14.17 
2,63,13.41 
2,64,12.63 
2,65,13.78 
2,66,13.39 
2,67,13.78 
2,68,13.02 
2,69,16.08 
2,70,12.64 
2,71,12.64 
2,72,12.64 
2,73,13.41 
2,74,13.41 
2,75,13.02 
2,76,14.55 
2,77,20.30 
2,78,13.78 
2,79,13.39 
2,80,13.41 
2,81,17.23 
2,82,13.02 
2,83,13.41 
2,84,12.64 
2,85,24.89 
2,86,14.55 
2,87,14.16 
2,88,13.02 
2,89,13.41 
2,90,17.22 
2,91,14.16 
2,92,17.61 
2,93,13.39 
2,94,9.95 
2,95,13.39 
2,96,29.09 
2,97,13.39 
2,98,13.39 
2,99,13.39 
2,100,20.67 
3,1,4.98 
3,2,5.61 
3,3,5.02 
3,4,5.44 
3,5,4.89 
3,6,5.02 
3,7,4.98 
3,8,6.04 
3,9,5.02 
3,10,5.53 
3,11,4.98 
3,12,5.06 
3,13,5.19 
3,14,7.36 
3,15,5.06 
3,16,4.81 
3,17,5.40 
3,18,4.81 
3,19,5.06 
3,20,4.98 
3,21,5.02 
3,22,5.27 
3,23,5.02 
3,24,5.10 
3,25,4.64 
3,26,4.89 
3,27,5.53 
3,28,4.93 
3,29,5.10 
3,30,4.93 
3,31,4.81 
3,32,5.23 
3,33,4.93 
3,34,5.02 
3,35,4.85 
3,36,5.53 
3,37,4.81 
3,38,5.19 
3,39,5.06 
3,40,4.81 
3,41,4.98 
3,42,4.72 
3,43,4.93 
3,44,4.85 
3,45,5.06 
3,46,5.23 
3,47,4.85 
3,48,4.98 
3,49,4.98 
3,50,4.98 
3,51,5.06 
3,52,4.89 
3,53,4.72 
3,54,4.93 
3,55,4.68 
3,56,4.81 
3,57,4.93 
3,58,4.72 
3,59,5.02 
3,60,4.85 
3,61,4.76 
3,62,4.93 
3,63,4.68 
3,64,5.91 
3,65,5.02 
3,66,5.06 
3,67,4.85 
3,68,4.81 
3,69,4.76 
3,70,4.85 
3,71,5.19 
3,72,4.76 
3,73,7.49 
3,74,4.98 
3,75,4.85 
3,76,4.85 
3,77,7.66 
3,78,5.02 
3,79,5.02 
3,80,4.93 
3,81,4.85 
3,82,4.93 
3,83,4.76 
3,84,5.15 
3,85,4.93 
3,86,4.98 
3,87,5.32 
3,88,5.27 
3,89,4.89 
3,90,4.85 
3,91,4.85 
3,92,4.76 
3,93,4.85 
3,94,4.81 
3,95,4.98 
3,96,4.72 
3,97,5.02 
3,98,4.76 
3,99,4.72 
3,100,4.85 
4,1,4.23 
4,2,4.12 
4,3,4.31 
4,4,4.27 
4,5,4.12 
4,6,4.05 
4,7,4.12 
4,8,4.10 
4,9,3.99 
4,10,4.15 
4,11,4.08 
4,12,3.96 
4,13,4.20 
4,14,4.12 
4,15,4.07 
4,16,4.71 
4,17,3.97 
4,18,4.18 
4,19,4.23 
4,20,4.13 
4,21,4.16 
4,22,4.32 
4,23,4.12 
4,24,4.16 
4,25,4.21 
4,26,4.08 
4,27,3.97 
4,28,4.71 
4,29,4.24 
4,30,4.15 
4,31,4.00 
4,32,4.08 
4,33,4.10 
4,34,4.08 
4,35,4.13 
4,36,4.10 
4,37,4.12 
4,38,4.23 
4,39,4.26 
4,40,4.10 
4,41,3.99 
4,42,4.24 
4,43,4.21 
4,44,4.12 
4,45,4.10 
4,46,4.08 
4,47,4.45 
4,48,3.97 
4,49,4.16 
4,50,4.15 
4,51,4.08 
4,52,4.08 
4,53,3.97 
4,54,4.19 
4,55,4.19 
4,56,5.34 
4,57,3.99 
4,58,3.97 
4,59,4.13 
4,60,4.10 
4,61,4.31 
4,62,4.10 
4,63,4.04 
4,64,4.18 
4,65,4.08 
4,66,4.16 
4,67,4.08 
4,68,4.07 
4,69,4.56 
4,70,4.45 
4,71,4.12 
4,72,3.99 
4,73,4.18 
4,74,4.12 
4,75,4.13 
4,76,4.19 
4,77,4.08 
4,78,4.24 
4,79,4.56 
4,80,4.10 
4,81,4.13 
4,82,4.18 
4,83,4.12 
4,84,4.27 
4,85,3.97 
4,86,4.15 
4,87,4.26 
4,88,4.34 
4,89,4.23 
4,90,4.18 
4,91,4.27 
4,92,4.18 
4,93,4.24 
4,94,4.26 
4,95,4.21 
4,96,4.16 
4,97,4.40 
4,98,4.12 
4,99,4.10 
4,100,4.20 
5,1,3.89 
5,2,3.90 
5,3,3.98 
5,4,3.98 
5,5,4.00 
5,6,3.91 
5,7,3.89 
5,8,3.98 
5,9,3.99 
5,10,3.92 
5,11,4.01 
5,12,3.97 
5,13,4.03 
5,14,4.03 
5,15,3.97 
5,16,3.88 
5,17,3.90 
5,18,4.01 
5,19,3.86 
5,20,3.98 
5,21,3.88 
5,22,3.89 
5,23,3.87 
5,24,4.09 
5,25,3.98 
5,26,3.88 
5,27,3.91 
5,28,3.88 
5,29,4.00 
5,30,4.15 
5,31,3.97 
5,32,4.00 
5,33,4.09 
5,34,3.92 
5,35,3.89 
5,36,4.02 
5,37,4.01 
5,38,4.03 
5,39,3.89 
5,40,3.99 
5,41,4.00 
5,42,3.91 
5,43,3.97 
5,44,4.01 
5,45,4.03 
5,46,4.21 
5,47,4.09 
5,48,3.92 
5,49,3.94 
5,50,3.86 
5,51,4.00 
5,52,3.87 
5,53,3.89 
5,54,4.06 
5,55,4.01 
5,56,3.88 
5,57,3.88 
5,58,3.90 
5,59,3.89 
5,60,3.99 
5,61,3.88 
5,62,3.97 
5,63,3.98 
5,64,3.91 
5,65,4.02 
5,66,3.97 
5,67,4.09 
5,68,4.41 
5,69,3.89 
5,70,3.96 
5,71,3.89 
5,72,4.01 
5,73,3.89 
5,74,3.89 
5,75,3.90 
5,76,4.03 
5,77,4.01 
5,78,3.88 
5,79,3.99 
5,80,3.99 
5,81,3.98 
5,82,3.95 
5,83,4.03 
5,84,3.97 
5,85,3.87 
5,86,4.02 
5,87,3.88 
5,88,3.99 
5,89,4.00 
5,90,3.97 
5,91,3.97 
5,92,4.06 
5,93,3.89 
5,94,3.89 
5,95,4.15 
5,96,3.88 
5,97,3.88 
5,98,4.18 
5,99,3.99 
5,100,3.88 
